"iata","name","country_iso","city","elevation_ft","latitude_deg","longitude_deg"
"LGQ","Lago Agrio","EC","Lago Agrio",980.0,0.093056,-76.8675
"LGR","Cochrane","CL","Cochrane",643.0,-47.2436,-72.5882
"LGS","Malarque, MD","AR","Malargue",4685.0,-35.4936,-69.5743
"LGT","Gaviotas, VI","CO","",591.0,4.55054,-70.9254
"LGU","Cache, UT","US","Logan",4457.0,41.7912,-111.852
"LGW","London Gatwick","GB","London",202.0,51.1481,-0.190278
"LGX","Lugh Ganane","SO","Luuq",507.0,3.8124,42.5459
"LGY","Lagunillas","VE","Lagunillas",2469.0,10.124,-71.238
"LHA","Lahr","DE","Lahr",511.0,48.3693,7.82772
"LHE","Lahore","PK","Lahore",712.0,31.5216,74.4036
"LHG","Lightning Ridge, NS","AU","",540.0,-29.4529,147.977
"LHI","Lereh","ID","Lereh-Papua Island",820.0,-3.0795,139.952
"LHR","London Heathrow","GB","London",83.0,51.4706,-0.461941
"LHS","Las Heras, SC","AR","Las Heras",1082.0,-46.5385,-68.9653
"LHV","W.T.Piper Memorial, PA","US","Lock Haven",556.0,41.1356,-77.4223
"LHW","Lanzhou","CN","Lanzhou",6388.0,36.5152,103.62
"LIC","Municipal, CO","US","Limon",5374.0,39.2748,-103.666
"LIE","Libenge","CD","Libenge",1125.0,3.633,18.633
"LIF","Wanaham, Iles Loyaute","NC","Lifou",92.0,-20.7748,167.24
"LIG","Limoges","FR","Limoges",1300.0,45.8628,1.17944
"LIH","Kauai Island","US","Kauai Island",153.0,21.976,-159.339
"LII","Mulia","ID","Mulia-Papua Island",6527.0,-3.70194,137.957
"LIL","Lille","FR","Lille",157.0,50.5633,3.08689
"LIM","Lima","PE","Lima",113.0,-12.0219,-77.1143
"LIN","Milan Linate","IT","Milan",353.0,45.4451,9.27674
"LIO","Int'l","CR","Limon",7.0,9.95796,-83.022
"LIP","Lins, SP","BR","Lins",1559.0,-21.664,-49.7305
"LIQ","Lisala","CD","",1509.0,2.17066,21.4969
"LIR","Liberia International Airport","CR","Liberia",270.0,10.5933,-85.5444
"LIS","Lisbon","PT","Lisbon",374.0,38.7813,-9.13592
"LIT","Little Rock","US","Little Rock",262.0,34.7296,-92.2237
"LIV","Livengood, AK","US","Livengood",425.0,65.467,-148.653
"LIW","Loikaw","MM","Loikaw",2940.0,19.6915,97.2148
"LIX","Likoma","MW","Likoma Island",1600.0,-12.0798,34.7363
"LIY","Wright AAF, GA","US","Hinesville",45.0,31.8912,-81.561
"LIZ","Loring AFB, ME","US","Limestone",746.0,46.9504,-67.8859
"LJA","Lodja","CD","Lodja",1647.0,-3.46274,23.6152
"LJN","Brazoria County, TX","US","Lake Jackson",25.0,29.1086,-95.4621
"LJU","Ljubljana","SI","Ljubljana",1273.0,46.2237,14.4576
"LKA","Gewayentana","ID","Larantuka",63.0,-8.27442,123.002
"LKB","Lakemba","FJ","Lakeba Island",280.0,-18.1992,-178.817
"LKC","Lekana","CG","Lekana",2634.0,-2.313,14.606
